"plateid1","min","max","difference"
0,123470.74509667224,123470.74509667224,0
110,372927.98979508434,372927.98979508434,0
112,93689.24391451367,93689.24391451367,0
137,465060.315521927,465060.315521927,0
140,1372392.0776064824,1372392.0776064824,0
141,547867.0410764976,547867.0410764976,0
216,132263.3069492003,132263.3069492003,0
217,75518.50119699494,75518.50119699494,0
218,99347.11015760229,99347.11015760229,0
221,39043.72955708112,39043.72955708112,0
223,290155.3360708213,290155.3360708213,0
224,1133047.6380459978,1133047.6380459978,0
251,460228.62135358725,460228.62135358725,0
257,202342.0371694517,202342.0371694517,0
321,215886.25635126967,215886.25635126967,0
323,98651.5100546032,98651.5100546032,0
329,31298.028092749268,31298.028092749268,0
408,161574.4236241643,161574.4236241643,0
410,1009155.6184117263,1009155.6184117263,0
413,116258.09051565954,116258.09051565954,0
420,1111459.5176877368,1111459.5176877368,0
603,387322.0244095308,387322.0244095308,0
605,78884.74666510404,78884.74666510404,0
607,917696.4300798699,917696.4300798699,0
618,118897.3347025346,118897.3347025346,0
622,303641.9572262941,303641.9572262941,0
623,375019.1926988379,375019.1926988379,0
626,1337266.8947245488,1337266.8947245488,0
631,231961.78829159634,231961.78829159634,0
632,194819.0636427994,194819.0636427994,0
637,592378.539683376,592378.539683376,0
650,507494.9532539832,507494.9532539832,0
651,97801.87095980874,97801.87095980874,0
652,491228.50918090646,491228.50918090646,0
653,641926.1551159286,641926.1551159286,0
654,881659.5778593237,881659.5778593237,0
655,1450277.635745631,1450277.635745631,0
656,1800326.6703151853,1800326.6703151853,0
664,110152.6893249745,110152.6893249745,0
670,541060.6856133839,541060.6856133839,0
671,268821.75753597287,268821.75753597287,0
672,208688.97667197284,208688.97667197284,0
673,973865.4314763227,973865.4314763227,0
675,1181517.721983283,1181517.721983283,0
676,229007.0341510433,229007.0341510433,0
679,1155871.273994411,1155871.273994411,0
684,74541.23112902742,74541.23112902742,0
808,188703.43188774824,188703.43188774824,0
809,66355.12889974943,66355.12889974943,0
810,178400.27568814642,178400.27568814642,0
817,183626.40964106072,183626.40964106072,0
818,155438.0389570587,155438.0389570587,0
